Regency,2020,2021,2022
Simeulue,109.99,113.04,108.46
Aceh Singkil,99.72,101.81,103.49
Aceh Selatan,98.07,93.33,98.46
Aceh Tenggara,100.77,97.87,98.23
Aceh Timur,95.43,104.86,102.67
Aceh Tengah,104.99,106.59,107.2
Aceh Barat,89.63,92.47,96.43
Aceh Besar,95.17,97.11,96.54
Pidie,92.96,93.89,94.63
Bireuen,96.68,100.3,101.28
Aceh Utara,98.8,99.07,103.63
Aceh Barat Daya,90.96,90.55,93.69
Gayo Lues,100.59,103.35,107.09
Aceh Tamiang,91.89,98.35,98.08
Nagan Raya,87.14,96.24,99.97
Aceh Jaya,92.88,93.51,93.73
Bener Meriah,91.68,99.55,101.26
Pidie Jaya,92.08,98.97,101.86
Kota Banda Aceh,100.26,102.23,101.54
Kota Sabang,111.13,107.15,107.84
Kota Langsa,93.37,96.78,99.99
Kota Lhokseumawe,101.61,103.46,106.36
Kota Subulussalam,85.82,90.62,93.49
Nias,106.76,108.77,110.37
Mandailing Natal,100.05,97.04,98.8
Tapanuli Selatan,102.53,99.33,100.39
Tapanuli Tengah,99.56,102.09,106.31
Tapanuli Utara,101.84,100.57,101.03
Toba Samosir,102.63,101.31,104.19
Labuhan Batu,104.83,101.44,104.32
Asahan,92.13,95.88,98.34
Simalungun,97.93,100.94,102.16
Dairi,101.99,106.07,107.76
Karo,101.54,103.23,107.48
Deli Serdang,96.45,95.32,98.06
Langkat,97.66,99.94,101.33
Nias Selatan,114.81,116.98,114.04
Humbang Hasundutan,103.44,100.58,103.8
Pakpak Bharat,101.95,103.85,104.46
Samosir,100.35,106.17,107.4
Serdang Bedagai,92.22,98.12,99.24
Batu Bara,95.5,97.32,94.49
Padang Lawas Utara,96.91,96.93,99.67
Padang Lawas,97.36,97.65,99.71
Labuhan Batu Selatan,102.65,102.44,106.34
Labuhan Batu Utara,103.91,102.37,104.35
Nias Utara,106.38,110.69,112.31
Nias Barat,108.66,111.92,112.36
Kota Sibolga,105.07,107.74,109.58
Kota Tanjung Balai,96.33,99.98,101.77
Kota Pematang Siantar,86.51,94.97,96.49
Kota Tebing Tinggi,96.25,98.34,101.32
Kota Medan,96.87,99.62,100.75
Kota Binjai,89.67,92.56,93.39
Kota Padangsidimpuan,97.03,100.07,103.61
Kota Gunungsitoli,101.98,108.04,110.66
Kepulauan Mentawai,117.09,124.97,129.04
Pesisir Selatan,93,92.63,96.46
Solok,97.19,98.82,99.75
Sijunjung,90.78,93.28,95.38
Tanah Datar,91.75,93.59,94.48
Padang Pariaman,89.97,86.53,91.58
Agam,87.65,89,93.78
Lima Puluh Kota,93.08,93.97,96.08
Pasaman,89.01,88.39,94.03
Solok Selatan,94.18,94.14,96.06
Dharmasraya,93.84,98.02,98.17
Pasaman Barat,89.91,96.01,99.72
Kota Padang,86.82,93.31,96.63
Kota Solok,92.1,92.44,95.89
Kota Sawah Lunto,91.36,96.9,98.87
Kota Padang Panjang,94.53,94.68,96.14
Kota Bukittinggi,94.65,95.06,98.41
Kota Payakumbuh,91.4,91.87,94.04
Kota Pariaman,91.32,92.17,95.75
Kuantan Singingi,93.13,85.78,90.52
Indragiri Hulu,96.38,97.19,100.37
Indragiri Hilir,92.74,90.68,99.46
Pelalawan,95.32,93.65,98.78
Siak,94.33,96.85,99.2
Kampar,89.43,87.41,96.84
Rokan Hulu,92.55,88.99,94.25
Bengkalis,99.17,98.35,101.05
Rokan Hilir,100.06,101.04,103.94
Kepulauan Meranti,105.8,109.75,108.78
Kota Pekanbaru,90.67,91.8,96.18
Kota Dumai,100.35,99.29,102.39
Kerinci,90.16,98.1,103.14
Merangin,89.23,85.88,90.52
Sarolangun,89.37,91.5,91.4
Batang Hari,87.12,92.55,94.8
Muaro Jambi,88.34,93.75,97.5
Tanjung Jabung Timur,100.7,98.94,101.8
Tanjung Jabung Barat,103.19,101.92,105.39
Tebo,83.58,85.66,94.4
Bungo,86.95,85.7,93.88
Kota Jambi,87.08,92.3,94.22
Kota Sungai Penuh,89.96,95.78,99.44
Ogan Komering Ulu,89.99,89.09,83.43
Ogan Komering Ilir,91.88,92.97,95.08
Muara Enim,99.75,97.76,98.06
Lahat,88.97,87.36,86.89
Musi Rawas,91.85,92.52,91.98
Musi Banyuasin,95.12,94.21,96.79
Banyu Asin,93.58,93.33,94.37
Ogan Komering Ulu Selatan,90.56,91,90.29
Ogan Komering Ulu Timur,97.04,96.28,93.59
Ogan Ilir,91.01,90.39,92.37
Empat Lawang,89.3,87.16,88.15
Penukal Abab Lematang Ilir,98.95,99.2,95.64
Musi Rawas Utara,91.18,88.65,90.17
Kota Palembang,88.85,86.44,89.45
Kota Prabumulih,95.36,91.42,93.96
Kota Pagar Alam,97.68,96.98,95.67
Kota Lubuklinggau,86.04,83.71,90.03
Bengkulu Selatan,88.18,91.84,95.69
Rejang Lebong,91.3,91.89,95.47
Bengkulu Utara,92.43,94.34,95.55
Kaur,93.33,97.83,97.4
Seluma,93.17,96.77,96.07
Mukomuko,94.03,95.74,95.6
Lebong,93.24,94.85,95.86
Kepahiang,90.89,92.95,93.69
Bengkulu Tengah,90.6,93.97,95.44
Kota Bengkulu,90.73,94.22,95.79
Lampung Barat,98.16,101.05,98.06
Tanggamus,89.2,89.08,86.74
Lampung Selatan,85.85,89.53,87.05
Lampung Timur,83.18,87.99,85.95
Lampung Tengah,83.45,85.82,86.62
Lampung Utara,84.83,85.88,88.88
Way Kanan,91.08,92.28,89.69
Tulangbawang,94.02,92.75,90.49
Pesawaran,83.23,87.54,87.39
Pringsewu,83.71,90.97,90.62
Mesuji,96.09,103.07,99.5
Tulang Bawang Barat,95.89,102.56,94.98
Pesisir Barat,97.85,104.74,96.24
Kota Bandar Lampung,84.26,89.77,87.18
Kota Metro,82.07,88.71,88.99
Bangka,101.43,101.18,102.25
Belitung,102.18,101.38,102.93
Bangka Barat,102.89,100.36,101.33
Bangka Tengah,101.22,100.18,101.28
Bangka Selatan,101.18,101.62,103.97
Belitung Timur,103.52,102.64,105.68
Kota Pangkal Pinang,100.94,101.17,102.08
Karimun,116.11,108.98,108.72
Bintan,112.37,108.04,106.82
Natuna,131.61,128.08,122.97
Lingga,122.86,118.45,121.05
Kepulauan Anambas,138.78,133.26,129.12
Kota Batam,115.75,110.4,113.5
Kota Tanjung Pinang,115.33,112.88,111.35
Kep. Seribu,128.37,131.85,126.62
Kota Jakarta Selatan,120.13,122.42,120.71
Kota Jakarta Timur,119.4,119.76,118.15
Kota Jakarta Pusat,108.34,117.86,124.96
Kota Jakarta Barat,110.79,120.01,121.53
Kota Jakarta Utara,115.15,117.21,117.22
Bogor,119.08,116.99,117.53
Sukabumi,99.24,99.39,101.93
Cianjur,98.69,101.48,105.89
Bandung,108.09,105.22,111.86
Garut,97.87,93.66,98.88
Tasikmalaya,100.47,100.83,104.96
Ciamis,97.29,92.52,98.46
Kuningan,98.53,96.83,97.84
Cirebon,101.26,105.75,104.22
Majalengka,99.66,102.64,103.56
Sumedang,101.49,101.48,104.36
Indramayu,106.79,108.61,108.11
Subang,100.3,102.4,107.26
Purwakarta,102.43,101.5,106.38
Karawang,100.9,102.09,104.03
Bekasi,112.65,105.6,106.88
Bandung Barat,108.4,110.92,114.99
Pangandaran,97.81,88.56,95.74
Kota Bogor,116.53,116.07,118.61
Kota Sukabumi,101.46,99.05,102
Kota Bandung,114.91,110.91,117.21
Kota Cirebon,98.52,97.18,100.01
Kota Bekasi,111.18,106.57,107.58
Kota Depok,118.2,109.8,113.87
Kota Cimahi,105.83,103.55,109.7
Kota Tasikmalaya,100.75,101.35,102.98
Kota Banjar,93.88,95.11,101.04
Cilacap,94.56,92.58,98.71
Banyumas,94.82,92.31,97.4
Purbalingga,90.13,89.15,97.12
Banjarnegara,93.52,93.14,99.46
Kebumen,94.88,97.85,97.14
Purworejo,94.35,96.31,97.92
Wonosobo,101.78,98.97,100.55
Magelang,93.43,94.02,97.3
Boyolali,90.82,97.92,100.01
Klaten,94.75,95.28,97.32
Sukoharjo,95.41,95.96,97.21
Wonogiri,95.61,98.23,98.25
Karanganyar,97.25,100.96,101.61
Sragen,98.2,101.47,99.46
Grobogan,94.84,98.81,100.15
Blora,99.39,96.38,100.03
Rembang,102.3,99.67,103.47
Pati,103.56,99.51,102.67
Kudus,100.05,101.85,103.39
Jepara,105.25,101.87,102.88
Demak,103.45,105.79,102.34
Semarang,107.03,105.45,105.59
Temanggung,97.9,97.83,100.67
Kendal,98.02,97.43,100.86
Batang,94.26,95.8,101.41
Pekalongan,95.42,96,101.65
Pemalang,92.98,97.08,102.62
Tegal,94.3,97.73,99.97
Brebes,99.64,98.3,103.12
Kota Magelang,94.75,94.12,97.69
Kota Surakarta,97.85,96.1,102.24
Kota Salatiga,100.48,99.49,102.8
Kota Semarang,100,100.23,104.61
Kota Pekalongan,96.18,95.8,102.43
Kota Tegal,101.4,100.63,102.99
Kulon Progo,100.38,98,101.36
Bantul,101.98,98.59,101.23
Gunung Kidul,105.19,103.31,104.78
Sleman,101.02,99.63,102.95
Kota Yogyakarta,102.95,102.11,101.54
Pacitan,94.37,98.63,96.66
Ponorogo,99.69,101.96,101.02
Trenggalek,98.96,95.53,98.3
Tulungagung,101.75,99.76,100.95
Blitar,96.81,95.01,95.45
Kediri,97.83,95.24,95.95
Malang,106.99,105.2,104.67
Lumajang,101.47,99.7,98.36
Jember,105.46,98.69,96.52
Banyuwangi,107.36,102.91,102.8
Bondowoso,97.63,96.06,97.34
Situbondo,96.97,99.21,95.02
Probolinggo,102.12,95.17,93.29
Pasuruan,105.68,101.56,100.28
Sidoarjo,111.38,110.65,108.14
Mojokerto,98.92,101.87,101.69
Jombang,101.79,100.69,101.08
Nganjuk,100.84,101.58,100.07
Madiun,100.7,100.66,98.67
Magetan,101.97,102.78,101.95
Ngawi,100.86,97.34,93.69
Bojonegoro,101.49,101.23,102.05
Tuban,102.06,102.72,102.24
Lamongan,107.85,106.3,103.6
Gresik,117.07,113.73,113.71
Bangkalan,107.4,106.63,104.07
Sampang,105.11,101.19,101.57
Pamekasan,103.54,105.66,102.91
Sumenep,105.67,108.63,106.97
Kota Kediri,98.61,96.43,96.9
Kota Blitar,99.01,96.32,93.91
Kota Malang,104.41,100.77,102.33
Kota Probolinggo,96.16,91.72,91.87
Kota Pasuruan,102.37,98.19,95.06
Kota Mojokerto,100.39,100.56,100.67
Kota Madiun,101.5,97.24,96.64
Kota Surabaya,111.62,107.49,105.67
Kota Batu,102.92,99.32,102.49
Pandeglang,94.99,87.54,87.58
Lebak,90.46,86.18,91.29
Tangerang,101.41,104.9,100.47
Serang,94.35,96.66,94.89
Kota Tangerang,101.49,105.17,105.58
Kota Cilegon,97.72,98.44,99.66
Kota Serang,92.88,98.15,100.48
Kota Tangerang Selatan,103.93,106.23,103.15
Jembrana,122.49,103.86,103.04
Tabanan,116.18,99.21,101.12
Badung,121.15,106.58,107.92
Gianyar,105.1,97.44,102.77
Klungkung,111.95,106.57,107.55
Bangli,113.99,106.29,106.79
Karangasem,110.22,101.91,101.28
Buleleng,115.94,100.39,102.97
Kota Denpasar,119.42,106.8,109.62
Lombok Barat,96.56,98.8,104.09
Lombok Tengah,99.07,102.1,102.23
Lombok Timur,99.21,105.61,106.43
Sumbawa,94.49,96.64,99.67
Dompu,93.52,101.44,107.93
Bima,103.83,107.49,112.32
Sumbawa Barat,100.44,100.01,96.47
Lombok Utara,97.33,97.38,100.31
Kota Mataram,106.56,103.75,104.09
Kota Bima,100.99,106.74,112.03
Sumba Barat,101.51,96.14,95.7
Sumba Timur,101.5,95.74,96.26
Kupang,88.49,83.75,83.62
Timor Tengah Selatan,98.12,91.57,89.84
Timor Tengah Utara,84.9,83.12,82.61
Belu,85.71,81.46,81.85
Alor,105.54,101.01,105.43
Lembata,97.56,100.28,97.06
Flores Timur,100.72,99.77,98.17
Sikka,89.07,88.62,89.8
Ende,92.18,89.25,90.05
Ngada,101.49,93.08,90.1
Manggarai,115.74,101.18,105.6
Rote Ndao,101.18,98.55,99.57
Manggarai Barat,96.82,100.14,100.12
Sumba Tengah,101.95,93.92,96.61
Sumba Barat Daya,102.6,94.4,95.74
Nagekeo,92.02,87.99,89.17
Manggarai Timur,102.76,100.39,98.92
Sabu Raijua,117.51,111.63,107.9
Malaka,85.65,81,85.01
Kota Kupang,99.81,92.44,88.3
Sambas,111.2,110.05,109.18
Bengkayang,113.86,110.39,109.21
Landak,113.62,113.52,110.01
Mempawah,107.91,106.1,105.62
Sanggau,113.74,114.48,112.43
Ketapang,105.25,105.43,105.93
Sintang,114.15,118.51,114.15
Kapuas Hulu,123.34,124.26,116.6
Sekadau,107.05,107.42,109.66
Melawi,113.8,116.18,113.22
Kayong Utara,110.36,113.27,107.54
Kubu Raya,103.63,104.42,105.61
Kota Pontianak,104.59,104.09,103.31
Kota Singkawang,111.95,114.12,109.55
Kotawaringin Barat,96.82,101.01,104.99
Kotawaringin Timur,101.05,97.65,103.76
Kapuas,94.1,95.99,101.17
Barito Selatan,99.72,94.82,101.14
Barito Utara,100.19,100.82,102.12
Sukamara,105.68,110.98,112.4
Lamandau,101.34,108.86,109.42
Seruyan,101.67,107.28,108.72
