Regency,2023,2024
Simeulue,106.62,108.8
Aceh Singkil,97.99,94.32
Aceh Selatan,99,98.65
Aceh Tenggara,94.64,93.43
Aceh Timur,99.19,95.47
Aceh Tengah,100.46,100.11
Aceh Barat,98.29,93.49
Aceh Besar,92.44,95.73
Pidie,91.57,92.66
Bireuen,96.05,94.12
Aceh Utara,104.4,102.71
Aceh Barat Daya,92.26,92.68
Gayo Lues,98.16,94.18
Aceh Tamiang,91.66,94.91
Nagan Raya,100.97,97.41
Aceh Jaya,97.85,98.86
Bener Meriah,98.84,96.4
Pidie Jaya,96.72,92.33
Kota Banda Aceh,93.58,94.74
Kota Sabang,98.23,102.78
Kota Langsa,92.62,92.08
Kota Lhokseumawe,104.21,100.91
Kota Subulussalam,95.9,97.17
Nias,109.69,110.03
Mandailing Natal,93.29,93.25
Tapanuli Selatan,95.73,93.67
Tapanuli Tengah,99.54,100.58
Tapanuli Utara,96.72,94.53
Toba Samosir,96.72,94.11
Labuhan Batu,98.34,96.25
Asahan,92.69,93.06
Simalungun,97.4,96.2
Dairi,102.7,101.58
Karo,102.46,100.54
Deli Serdang,93.92,89.32
Langkat,95.44,94.62
Nias Selatan,111.38,110.59
Humbang Hasundutan,98.49,97.48
Pakpak Bharat,98.29,99.12
Samosir,103.46,103.17
Serdang Bedagai,93.72,93.59
Batu Bara,90.52,88.66
Padang Lawas Utara,96.78,93.95
Padang Lawas,97.02,93.07
Labuhan Batu Selatan,98.35,96.57
Labuhan Batu Utara,98.32,95.16
Nias Utara,105.63,107.35
Nias Barat,108.86,115.36
Kota Sibolga,102.52,102.94
Kota Tanjung Balai,96.64,94.78
Kota Pematang Siantar,94.72,92.05
Kota Tebing Tinggi,96.23,95.16
Kota Medan,97.53,94.2
Kota Binjai,94.59,92.06
Kota Padangsidimpuan,97.08,95.61
Kota Gunungsitoli,110.48,103.43
Kepulauan Mentawai,121.25,118.65
Pesisir Selatan,92.7,92.61
Solok,96.26,94.5
Sijunjung,92.77,91.18
Tanah Datar,93.87,92.26
Padang Pariaman,88.66,88.15
Agam,90.92,90.2
Lima Puluh Kota,90.49,90.18
Pasaman,90.06,90.35
Solok Selatan,92.94,91.49
Dharmasraya,93.41,91.19
Pasaman Barat,95.15,94.6
Kota Padang,97.07,94.36
Kota Solok,93.22,92.71
Kota Sawah Lunto,93.29,92.19
Kota Padang Panjang,91.43,90.3
Kota Bukittinggi,95.78,95.45
Kota Payakumbuh,91.94,90.32
Kota Pariaman,91.52,90.87
Kuantan Singingi,90.27,86.92
Indragiri Hulu,99.66,95.28
Indragiri Hilir,103.2,100.51
Pelalawan,98.65,95.67
Siak,99.29,95.84
Kampar,98.34,94.39
Rokan Hulu,95.19,94.53
Bengkalis,100.16,98.5
Rokan Hilir,103.77,102.43
Kepulauan Meranti,106.94,102.89
Kota Pekanbaru,94.24,90.22
Kota Dumai,100.16,97.25
Kerinci,97.37,97.95
Merangin,92.18,95.59
Sarolangun,93.69,94.04
Batang Hari,89.37,90.1
Muaro Jambi,92.95,96.85
Tanjung Jabung Timur,97.59,101.04
Tanjung Jabung Barat,99.14,101.51
Tebo,91.15,91.68
Bungo,89.01,89.12
Kota Jambi,92.9,94.24
Kota Sungai Penuh,94.27,97.3
Ogan Komering Ulu,84.03,83.37
Ogan Komering Ilir,91.53,93.42
Muara Enim,96.5,94.79
Lahat,85.61,85.48
Musi Rawas,91.73,90.62
Musi Banyuasin,95.02,92.7
Banyu Asin,94.08,93.46
Ogan Komering Ulu Selatan,90.69,89.75
Ogan Komering Ulu Timur,90.74,92.51
Ogan Ilir,90.21,87.91
Empat Lawang,88.43,89.46
Penukal Abab Lematang Ilir,95.23,93.56
Musi Rawas Utara,93.73,93.81
Kota Palembang,90,85.89
Kota Prabumulih,91.29,89.82
Kota Pagar Alam,95.09,93.79
Kota Lubuklinggau,90.8,91.18
Bengkulu Selatan,94.05,95.51
Rejang Lebong,91.95,93.15
Bengkulu Utara,91.82,91
Kaur,95.39,97.76
Seluma,95.36,95.39
Mukomuko,93.16,99.2
Lebong,92.96,93.63
Kepahiang,91.14,90.08
Bengkulu Tengah,92.9,92.01
Kota Bengkulu,94.07,94.72
Lampung Barat,94.72,92.22
Tanggamus,87.33,87.91
Lampung Selatan,85.7,88.62
Lampung Timur,85.62,85.93
Lampung Tengah,85.27,86.72
Lampung Utara,87.7,88.77
Way Kanan,87.38,89.19
Tulangbawang,88.41,90.65
Pesawaran,85.93,85.36
Pringsewu,87.94,88.05
Mesuji,94.52,92.43
Tulang Bawang Barat,90.79,93.52
Pesisir Barat,95.19,95.14
Kota Bandar Lampung,87.41,86.01
Kota Metro,86.69,86.9
Bangka,103.64,106.79
Belitung,103.83,103.8
Bangka Barat,103.55,104.98
Bangka Tengah,101.64,102.59
Bangka Selatan,105.26,104.17
Belitung Timur,105.61,105.22
Kota Pangkal Pinang,104.11,110.21
Karimun,102.59,108.15
Bintan,103.71,105.63
Natuna,116.33,116.22
Lingga,111.67,111.31
Kepulauan Anambas,133.93,126.75
Kota Batam,111.07,110.64
Kota Tanjung Pinang,103.02,106.28
Kep. Seribu,123.98,122.21
Kota Jakarta Selatan,112.96,112.22
Kota Jakarta Timur,112.14,109.6
Kota Jakarta Pusat,120.41,119.14
Kota Jakarta Barat,115.48,113.41
Kota Jakarta Utara,115.82,112.64
Bogor,112.95,115.39
Sukabumi,101.91,103.12
Cianjur,105.77,103.18
Bandung,110.11,111.3
Garut,96.47,102.23
Tasikmalaya,99.72,98.5
Ciamis,97.56,99.55
Kuningan,98.45,98.27
Cirebon,103.86,104.51
Majalengka,98.7,102.13
Sumedang,101.97,103.47
Indramayu,107.03,104.92
Subang,105.88,105.33
Purwakarta,104.97,104.89
Karawang,106.76,108.74
Bekasi,105.47,108.56
Bandung Barat,108.86,111.02
Pangandaran,92.92,92.92
Kota Bogor,112.89,112.47
Kota Sukabumi,102.24,102.8
Kota Bandung,112,117.19
Kota Cirebon,100.4,105.18
Kota Bekasi,105.15,106.59
Kota Depok,111.21,109.97
Kota Cimahi,107.93,112.94
Kota Tasikmalaya,103.29,103.86
Kota Banjar,99.28,98.04
Cilacap,98.21,101.76
Banyumas,97.2,100.9
Purbalingga,96.36,99.9
Banjarnegara,98.54,100.41
Kebumen,96.33,98.3
Purworejo,96.39,99.38
Wonosobo,97.98,99.74
Magelang,97.34,99.28
Boyolali,98.6,100.85
Klaten,97.74,100.31
Sukoharjo,99.59,100.45
Wonogiri,97.21,100.13
Karanganyar,99.41,103.37
Sragen,97.77,101.67
Grobogan,101.87,102.22
Blora,101.25,103.85
Rembang,101.98,102.46
Pati,103.48,104.52
Kudus,103.82,104.64
Jepara,102.79,104.76
Demak,102.86,104.26
Semarang,105.4,105.78
Temanggung,98.4,99.95
Kendal,100.18,102.28
Batang,101.68,101.8
Pekalongan,100.88,101.29
Pemalang,102.58,104.1
Tegal,101.19,101.18
Brebes,102.18,104.48
Kota Magelang,98.63,98.85
Kota Surakarta,99.69,103.08
Kota Salatiga,102.59,104.58
Kota Semarang,102.94,105.04
Kota Pekalongan,101.54,103.37
Kota Tegal,103.15,104.5
Kulon Progo,102.08,102.56
Bantul,104.06,105.13
Gunung Kidul,108.14,107.97
Sleman,106.26,106.63
Kota Yogyakarta,101.87,102.25
Pacitan,93.9,91.07
Ponorogo,99,97.17
Trenggalek,98.54,97.25
Tulungagung,96.37,93.25
Blitar,93.19,90.03
Kediri,96.45,91.51
Malang,102.83,98.86
Lumajang,94.31,91.96
Jember,95.8,93.28
Banyuwangi,99.13,96.67
Bondowoso,94.58,93.02
Situbondo,94.51,91.91
Probolinggo,94.58,93.78
Pasuruan,96.95,95.97
Sidoarjo,109.16,106.35
Mojokerto,101.14,97.79
Jombang,98.97,98.01
Nganjuk,95.46,95.01
Madiun,96.24,95.85
Magetan,98.26,95.27
Ngawi,91.01,92.76
Bojonegoro,99.61,95.73
Tuban,100.68,97.93
Lamongan,101.79,97.63
Gresik,112.47,106.44
Bangkalan,99.74,100.12
Sampang,97.29,98.15
Pamekasan,101.07,96.19
Sumenep,103.17,102.75
Kota Kediri,94.6,94.38
Kota Blitar,94.4,92.25
Kota Malang,102.75,98.02
Kota Probolinggo,94.51,94.93
